Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,True,2024-01-23T13:08:20.6063275+01:00,07:30:00
Milk and Cereals,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,True,2024-01-23T13:08:26.1990763+01:00,08:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00

Session End: 2024-01-23T13:08:35.7715938+01:00
