Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,True,2023-06-02T01:57:22.0126506+02:00,12:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,True,2023-06-02T01:56:30.4202928+02:00,07:30:00
Milk and Cereals,True,2023-06-02T01:57:44.2680051+02:00,13:30:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,True,2023-06-02T01:58:34.8266249+02:00,14:30:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,True,2023-06-02T01:58:11.3306084+02:00,14:00:00

Session End: 2023-06-02T01:58:41.2937915+02:00
