Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,False,0001-01-01T00:00:00.0000000,00:00:00
Milk and Cereals,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler1,True,2024-05-08T14:21:31.6985415+02:00,08:30:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Garbage,True,2024-05-08T14:22:08.6869034+02:00,09:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,True,2024-05-08T14:21:13.1531476+02:00,08:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Hospital,False,0001-01-01T00:00:00.0000000,00:00:00
Coffee,True,2024-05-08T14:19:50.2417266+02:00,07:30:00
Event,True,2024-05-08T14:22:57.7610619+02:00,09:30:00

Session End: 2024-05-08T14:23:48.9912246+02:00
