Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,True,2023-06-21T11:38:43.3601966+02:00,12:00:00
Park,True,2023-06-21T11:36:26.1119002+02:00,08:30:00
Cake,True,2023-06-21T11:35:18.3911134+02:00,07:30:00
Milk and Cereals,True,2023-06-21T11:38:29.3401405+02:00,11:30:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,True,2023-06-21T11:39:12.4923068+02:00,13:30:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,True,2023-06-21T11:38:12.1677655+02:00,11:00:00
Parcel,True,2023-06-21T11:37:55.5211942+02:00,10:30:00
Salmon,True,2023-06-21T11:37:25.7401771+02:00,10:00:00
Teeth,True,2023-06-21T11:36:04.4673849+02:00,08:00:00
Water Plants1,True,2023-06-21T11:37:22.6159425+02:00,09:30:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,True,2023-06-21T11:39:23.6528535+02:00,14:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,True,2023-06-21T11:40:47.4466470+02:00,14:30:00
Inhaler,True,2023-06-21T11:37:06.1681880+02:00,09:00:00

Session End: 2023-06-21T11:41:36.5035831+02:00
