Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,False,0001-01-01T00:00:00.0000000,00:00:00
Milk and Cereals,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Garbage,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Hospital,False,0001-01-01T00:00:00.0000000,00:00:00
Coffee,False,0001-01-01T00:00:00.0000000,00:00:00

Session End: 2024-05-31T15:09:17.4764641+02:00
