Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,True,2023-06-21T11:31:29.8478291+02:00,08:30:00
Cake,True,2023-06-21T11:31:12.7639298+02:00,07:30:00
Milk and Cereals,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,True,2023-06-21T11:33:00.5691101+02:00,10:00:00
Salmon,True,2023-06-21T11:32:21.3314059+02:00,09:30:00
Teeth,True,2023-06-21T11:31:17.7908161+02:00,08:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler,True,2023-06-21T11:31:58.5766207+02:00,09:30:00

Session End: 2023-06-21T11:34:38.2418971+02:00
