Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,True,2023-06-02T01:46:44.8607883+02:00,13:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,False,0001-01-01T00:00:00.0000000,00:00:00
Milk and Cereals,True,2023-06-02T01:46:59.5234216+02:00,14:30:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants1,True,2023-06-02T01:46:34.9830033+02:00,12:30:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,True,2023-06-02T01:45:37.1738238+02:00,12:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00

Session End: 2023-06-02T01:52:10.2572550+02:00
