Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,False,0001-01-01T00:00:00.0000000,00:00:00
Cake,False,0001-01-01T00:00:00.0000000,00:00:00
Milk and Cereals,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler1,True,2024-06-12T09:46:31.4304522+02:00,08:30:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Garbage,True,2024-06-12T09:47:18.8609127+02:00,09:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,False,0001-01-01T00:00:00.0000000,00:00:00
Teeth,True,2024-06-12T09:46:22.5658098+02:00,08:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Hospital,True,2024-06-12T09:47:35.3047717+02:00,09:30:00
Coffee,True,2024-06-12T09:46:07.2174332+02:00,07:30:00
Friend,True,2024-06-12T09:48:42.7090883+02:00,11:00:00
Purchase Food,True,2024-06-12T09:49:10.6479799+02:00,12:30:00

Session End: 2024-06-12T09:50:05.9236312+02:00
