Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,True,2023-06-02T01:14:54.4701280+02:00,12:00:00
Park,True,2023-06-02T01:11:31.5957817+02:00,08:30:00
Cake,True,2023-06-02T01:11:02.7855350+02:00,07:30:00
Milk and Cereals,True,2023-06-02T01:14:43.0259735+02:00,11:30:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,True,2023-06-02T01:15:40.4422257+02:00,13:30:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,True,2023-06-02T01:14:19.4945339+02:00,11:00:00
Parcel,True,2023-06-02T01:14:01.7875123+02:00,10:30:00
Salmon,True,2023-06-02T01:13:26.9743920+02:00,10:00:00
Teeth,True,2023-06-02T01:11:09.7595483+02:00,08:00:00
Water Plants1,True,2023-06-02T01:13:07.3964630+02:00,09:30:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,True,2023-06-02T01:16:05.9570564+02:00,14:00:00
Set Table,True,2023-06-02T01:16:23.7426810+02:00,14:30:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler,True,2023-06-02T01:12:36.4978937+02:00,09:30:00

Session End: 2023-06-02T01:20:09.0801648+02:00
